epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,14910.9,0.74431,0.35616,0.82387,0.90213,0.64333,0.75765,0.55631,0.66665,0.30615,0.80806,0.005446,0.005446,0.005446
71,15124.3,0.74601,0.35588,0.82165,0.9039,0.64272,0.75806,0.55691,0.66547,0.30501,0.80776,0.00538,0.00538,0.00538
72,15337.2,0.74036,0.35386,0.82533,0.91041,0.63831,0.75778,0.55652,0.66629,0.30559,0.80801,0.005314,0.005314,0.005314
73,15549.6,0.73979,0.35345,0.82377,0.91116,0.64078,0.75957,0.55775,0.66442,0.30452,0.80758,0.005248,0.005248,0.005248
74,15762.4,0.73814,0.35282,0.8234,0.90421,0.64365,0.76045,0.55813,0.66447,0.30478,0.80732,0.005182,0.005182,0.005182
75,15975.7,0.73846,0.35074,0.82348,0.90851,0.64432,0.76138,0.55988,0.66277,0.30436,0.80713,0.005116,0.005116,0.005116
76,16189.4,0.73414,0.35093,0.82202,0.90374,0.64562,0.76085,0.55907,0.66276,0.3046,0.80707,0.00505,0.00505,0.00505
77,16403.2,0.73442,0.35051,0.82333,0.90311,0.64558,0.76199,0.55978,0.66105,0.30355,0.80725,0.004984,0.004984,0.004984
78,16616.5,0.73303,0.34972,0.82255,0.90442,0.64261,0.75988,0.55968,0.6612,0.30359,0.80724,0.004918,0.004918,0.004918
79,16829.8,0.73423,0.34944,0.82172,0.90168,0.64446,0.76104,0.5599,0.66103,0.30273,0.80722,0.004852,0.004852,0.004852
80,17043.2,0.73145,0.34683,0.82224,0.90391,0.64441,0.76276,0.5607,0.66099,0.30266,0.80698,0.004786,0.004786,0.004786
81,17256.5,0.72661,0.34641,0.82096,0.9037,0.64451,0.76269,0.56136,0.66034,0.30129,0.80694,0.00472,0.00472,0.00472
82,17469.8,0.72899,0.34341,0.82133,0.90598,0.64622,0.76366,0.56205,0.65983,0.30111,0.80682,0.004654,0.004654,0.004654
83,17683,0.72373,0.34396,0.82179,0.90523,0.64715,0.76312,0.562,0.65943,0.30043,0.80655,0.004588,0.004588,0.004588
84,17896.2,0.72912,0.34401,0.82145,0.90529,0.6475,0.76454,0.56212,0.65851,0.2996,0.80645,0.004522,0.004522,0.004522
85,18109.3,0.72425,0.34256,0.82091,0.91007,0.64406,0.76401,0.56188,0.65812,0.29992,0.80626,0.004456,0.004456,0.004456
86,18322.9,0.72588,0.34336,0.82167,0.91079,0.64451,0.7647,0.56277,0.65738,0.29928,0.80628,0.00439,0.00439,0.00439
87,18536.8,0.72363,0.34259,0.81983,0.91141,0.64548,0.76429,0.56311,0.6566,0.29922,0.80617,0.004324,0.004324,0.004324
88,18749.9,0.71941,0.34126,0.81984,0.91142,0.6461,0.76542,0.56408,0.65619,0.29888,0.80615,0.004258,0.004258,0.004258
89,18963,0.71982,0.33944,0.81984,0.91177,0.64558,0.76643,0.56532,0.65571,0.29895,0.80617,0.004192,0.004192,0.004192
90,19176.7,0.72348,0.34143,0.8192,0.9109,0.64667,0.76652,0.56536,0.65534,0.29816,0.80612,0.004126,0.004126,0.004126
91,19390,0.71963,0.33969,0.81998,0.91154,0.64547,0.76666,0.56569,0.65511,0.29791,0.80604,0.00406,0.00406,0.00406
92,19603.5,0.71543,0.3376,0.81926,0.91019,0.6473,0.76752,0.56589,0.65492,0.29696,0.80589,0.003994,0.003994,0.003994
93,19816.6,0.71626,0.33711,0.81809,0.91074,0.64794,0.76752,0.56635,0.65416,0.2967,0.80586,0.003928,0.003928,0.003928
94,20029.7,0.71144,0.33497,0.81905,0.91629,0.64352,0.76696,0.56662,0.65391,0.29645,0.80577,0.003862,0.003862,0.003862
95,20243.5,0.71104,0.33703,0.81841,0.91637,0.6443,0.7674,0.56707,0.65349,0.29632,0.80576,0.003796,0.003796,0.003796
96,20456.9,0.70981,0.33558,0.81848,0.91391,0.64563,0.76746,0.56715,0.65348,0.29571,0.80577,0.00373,0.00373,0.00373
97,20670.3,0.7093,0.33548,0.8181,0.91062,0.64684,0.76742,0.56736,0.6531,0.2956,0.8061,0.003664,0.003664,0.003664
98,20883.7,0.70883,0.33327,0.8166,0.90946,0.64916,0.76734,0.56831,0.65241,0.29534,0.80603,0.003598,0.003598,0.003598
99,21097.5,0.70842,0.33312,0.81831,0.90938,0.65007,0.76761,0.56838,0.65181,0.29497,0.80591,0.003532,0.003532,0.003532
100,21310.4,0.70422,0.33183,0.81656,0.90784,0.6491,0.767,0.56837,0.65147,0.29516,0.80577,0.003466,0.003466,0.003466
101,21523.5,0.70787,0.33233,0.81971,0.90703,0.64951,0.76712,0.56836,0.65118,0.29463,0.80567,0.0034,0.0034,0.0034
102,21737.3,0.70504,0.33175,0.81824,0.90549,0.65049,0.76721,0.56812,0.65097,0.29486,0.80558,0.003334,0.003334,0.003334
103,21951.1,0.70512,0.33014,0.81694,0.90599,0.65008,0.76743,0.56824,0.65042,0.295,0.80542,0.003268,0.003268,0.003268
104,22164.8,0.70399,0.33033,0.81746,0.90677,0.6493,0.76738,0.56828,0.65016,0.29469,0.8053,0.003202,0.003202,0.003202
105,22378.5,0.70101,0.32828,0.81556,0.90677,0.65012,0.76777,0.56837,0.64983,0.29408,0.80535,0.003136,0.003136,0.003136
106,22592.9,0.70315,0.32821,0.81687,0.90827,0.65045,0.76849,0.56886,0.64964,0.29402,0.80534,0.00307,0.00307,0.00307
107,22806.8,0.70182,0.32825,0.81628,0.90772,0.65114,0.76852,0.56887,0.64935,0.29318,0.8053,0.003004,0.003004,0.003004
108,23021.1,0.6992,0.32682,0.81623,0.9085,0.65057,0.76882,0.56948,0.64899,0.29306,0.80521,0.002938,0.002938,0.002938
109,23235,0.69636,0.32574,0.81596,0.90785,0.65043,0.76887,0.56938,0.64866,0.29275,0.80509,0.002872,0.002872,0.002872
110,23448.8,0.69954,0.32788,0.81442,0.90741,0.65075,0.76925,0.56973,0.64844,0.29282,0.80505,0.002806,0.002806,0.002806
111,23662.8,0.69685,0.3252,0.8154,0.90734,0.65156,0.76904,0.56991,0.64813,0.29233,0.80503,0.00274,0.00274,0.00274
112,23876.9,0.68652,0.32119,0.81292,0.90956,0.65164,0.76967,0.57013,0.64844,0.29245,0.80502,0.002674,0.002674,0.002674
113,24091,0.69145,0.32334,0.81619,0.90995,0.65294,0.77045,0.57051,0.64751,0.29191,0.80487,0.002608,0.002608,0.002608
114,24304.9,0.68893,0.32141,0.81413,0.90958,0.653,0.77068,0.57047,0.64745,0.29233,0.8048,0.002542,0.002542,0.002542
115,24518.8,0.69057,0.32322,0.81415,0.90917,0.65297,0.77067,0.57117,0.6472,0.29246,0.80477,0.002476,0.002476,0.002476
116,24733.3,0.68393,0.32031,0.81263,0.90923,0.65272,0.77076,0.57128,0.64659,0.29215,0.80468,0.00241,0.00241,0.00241
