epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,12019.3,0.7302,0.35302,0.80266,0.90991,0.67291,0.78761,0.58258,0.66963,0.30498,0.79335,0.006304,0.006304,0.006304
58,12231.2,0.73132,0.3492,0.80084,0.91309,0.67713,0.78987,0.58091,0.67136,0.30542,0.79358,0.006238,0.006238,0.006238
59,12441.6,0.73116,0.3518,0.80157,0.91204,0.67602,0.78955,0.58316,0.66671,0.30302,0.79342,0.006172,0.006172,0.006172
60,12651.8,0.7306,0.35033,0.80163,0.90551,0.67901,0.78888,0.58326,0.66697,0.30278,0.79301,0.006106,0.006106,0.006106
61,12862.5,0.72648,0.34791,0.80008,0.91703,0.67494,0.78926,0.58206,0.66583,0.30403,0.79292,0.00604,0.00604,0.00604
62,13074.1,0.72576,0.34798,0.80147,0.90446,0.67868,0.79101,0.58456,0.66578,0.30301,0.79269,0.005974,0.005974,0.005974
63,13285,0.72716,0.34678,0.8014,0.9153,0.67571,0.79405,0.58643,0.66326,0.30221,0.79265,0.005908,0.005908,0.005908
64,13496.2,0.72244,0.34529,0.80016,0.90683,0.67997,0.79389,0.58699,0.66217,0.30123,0.79258,0.005842,0.005842,0.005842
65,13706.6,0.71963,0.34471,0.80022,0.90582,0.68081,0.79362,0.58652,0.66274,0.30035,0.79267,0.005776,0.005776,0.005776
66,13916.6,0.72241,0.34535,0.80018,0.90868,0.68312,0.79385,0.5871,0.6621,0.30041,0.79256,0.00571,0.00571,0.00571
67,14126.9,0.7193,0.34382,0.8,0.91224,0.68217,0.79428,0.58718,0.66119,0.2995,0.7924,0.005644,0.005644,0.005644
68,14338.5,0.72013,0.34419,0.80002,0.91133,0.68083,0.79463,0.58647,0.66058,0.29924,0.79235,0.005578,0.005578,0.005578
69,14550,0.7198,0.34354,0.80029,0.90621,0.68127,0.79322,0.58696,0.66125,0.299,0.7923,0.005512,0.005512,0.005512
70,14759.7,0.7148,0.34054,0.79993,0.9064,0.68124,0.79357,0.58685,0.66127,0.29771,0.7925,0.005446,0.005446,0.005446
71,14969,0.71684,0.3418,0.79844,0.92069,0.67746,0.79515,0.58782,0.65933,0.29714,0.79239,0.00538,0.00538,0.00538
72,15180.2,0.70954,0.33927,0.80037,0.91739,0.67859,0.79529,0.58851,0.6605,0.29675,0.79249,0.005314,0.005314,0.005314
73,15392.1,0.71402,0.34046,0.8001,0.91177,0.68282,0.7956,0.58917,0.66113,0.29703,0.79253,0.005248,0.005248,0.005248
74,15602.6,0.70848,0.33798,0.79912,0.91056,0.68409,0.7973,0.59052,0.66095,0.29692,0.79259,0.005182,0.005182,0.005182
75,15812.7,0.71008,0.33812,0.79977,0.90887,0.68397,0.79624,0.59074,0.65987,0.29669,0.79247,0.005116,0.005116,0.005116
76,16023,0.70393,0.33601,0.79884,0.91276,0.68081,0.79729,0.592,0.65907,0.29555,0.79241,0.00505,0.00505,0.00505
77,16233.8,0.70503,0.33609,0.79914,0.90714,0.68524,0.79719,0.59235,0.65815,0.29482,0.79242,0.004984,0.004984,0.004984
78,16445.2,0.70221,0.33421,0.79881,0.91217,0.68321,0.79795,0.59262,0.65675,0.29385,0.79226,0.004918,0.004918,0.004918
79,16656.7,0.70374,0.33403,0.79863,0.90787,0.6866,0.7982,0.59377,0.65642,0.29343,0.79228,0.004852,0.004852,0.004852
80,16867.3,0.70078,0.33183,0.79808,0.90624,0.68682,0.79863,0.594,0.65559,0.29289,0.79203,0.004786,0.004786,0.004786
81,17077.1,0.69737,0.33179,0.79732,0.90883,0.68552,0.79902,0.59421,0.65508,0.29336,0.79199,0.00472,0.00472,0.00472
82,17286.4,0.69926,0.33031,0.7982,0.91115,0.68475,0.79949,0.59527,0.6542,0.2927,0.79191,0.004654,0.004654,0.004654
83,17498.3,0.69462,0.32896,0.79847,0.91447,0.68297,0.80081,0.5964,0.65322,0.29236,0.79169,0.004588,0.004588,0.004588
84,17710.4,0.69943,0.33074,0.79811,0.91687,0.68242,0.8008,0.59664,0.65272,0.29216,0.79177,0.004522,0.004522,0.004522
85,17920.3,0.69307,0.32839,0.79687,0.91847,0.68145,0.80042,0.59616,0.65229,0.29126,0.79168,0.004456,0.004456,0.004456
